hsn_code,description,gst_rate
54010000,Sewing thread of man-made filaments,
54020000,Synthetic filament yarn,
54030000,Artificial filament yarn (other than sewing thread),
54040000,Synthetic monofilament >= 67 decitex,
54050000,Artificial monofilament >= 67 decitex,
54060000,Man-made filament yarn (retail),
54070000,Woven fabrics of synthetic filament yarn,
54080000,Woven fabrics of artificial filament yarn,
55010000,Synthetic filament tow,
55020000,Artificial filament tow,
55030000,"Synthetic staple fibres, not carded/combed",
55040000,"Artificial staple fibres, not carded/combed",
55050000,"Waste (incl. noils, yarn waste) of man-made fibres",
55060000,"Synthetic staple fibres, carded/combed",
55070000,"Artificial staple fibres, carded/combed",
55080000,Sewing thread of man-made staple fibres,
55090000,Yarn of synthetic staple fibres (other than sewing),
55100000,Yarn of artificial staple fibres,
55110000,"Yarn of man-made staple fibres, for retail",
55120000,Woven fabrics of synthetic staple fibres >=85%,
55130000,Woven fabrics of synthetic staple fibres <85%,
55140000,Woven fabrics of synthetic staple fibres (>200g),
55150000,Other woven fabrics of synthetic staple fibres,
55160000,Woven fabrics of artificial staple fibres,
56010000,Wadding of textile materials; textile fibres,
56020000,"Felt, not impregnated/coated/covered",
56030000,Nonwovens,
56040000,"Rubber thread and cord, textile covered",
56050000,Metallised yarn,
56060000,Gimped yarn; chenille yarn; loop wale-yarn,
56070000,"Twine, cordage, ropes and cables",
56080000,Knotted netting; made-up fishing nets,
56090000,"Articles of yarn, strip, twine, rope etc.",
57010000,Carpets and other floor coverings of wool (knotted),
57020000,"Carpets/floor coverings of textile materials, woven",
57030000,"Carpets/floor coverings of textile, tufted",
57040000,Carpets/floor coverings of felt,
57050000,Other carpets and floor coverings of textile,
58010000,"Woven pile fabrics (velvet, corduroy etc.)",
58020000,Terry towelling; tufted textile fabrics,
58030000,Gauze (other than narrow fabrics),
58040000,Tulles and other net fabrics; lace,
58050000,Hand-woven tapestries (Gobelin etc.),
58060000,Narrow woven fabrics,
58070000,"Labels, badges and similar of textile",
58080000,Braids; ornamental trimmings,
58090000,Woven fabrics of metal thread,
58100000,"Embroidery in the piece, strips or motifs",
58110000,Quilted textile products in the piece,
59010000,Textile fabrics coated with gum (book-binding cloth),
59020000,Tyre cord fabric of high tenacity yarn,
59030000,Textile fabrics impregnated/coated with plastics,
59040000,Linoleum; floor coverings with textile backing,
59050000,Textile wall coverings,
59060000,Rubberised textile fabrics,
59070000,Textile fabrics otherwise impregnated,
59080000,"Textile wicks for lamps, stoves, lighters etc.",
59090000,Textile hose piping and similar textile tubing,
59100000,Transmission/conveyor belts of textile material,
59110000,Textile products for technical uses,
60010000,"Pile fabrics (incl. long pile, terry), knitted",
60020000,Knitted/crocheted fabrics (width <= 30cm),
60030000,"Knitted/crocheted fabrics (width <= 30cm, other)",
60040000,"Knitted/crocheted fabrics (width > 30cm, >=5% elastomeric)",
60050000,Warp knit fabrics (incl. made on galloon machines),
60060000,Other knitted or crocheted fabrics,
61010000,"Men's overcoats, car-coats, cloaks (knitted)",5
61020000,"Women's overcoats, car-coats, cloaks (knitted)",5
61030000,"Men's suits, ensembles, jackets (knitted)",5
61040000,"Women's suits, ensembles, jackets (knitted)",5
61050000,Men's shirts (knitted/crocheted),5
61060000,"Women's blouses, shirts (knitted)",5
61070000,"Men's underpants, briefs, nightwear (knitted)",5
61080000,"Women's slips, underpants, nightwear (knitted)",5
61090000,"T-shirts, singlets and other vests (knitted)",5
61100000,"Jerseys, pullovers, sweatshirts, waistcoats (knitted)",5
61110000,Babies' garments and clothing accessories (knitted),5
61120000,"Track suits, ski suits, swimwear (knitted)",5
61130000,Garments of impregnated/coated knitted fabric,
61140000,Other garments (knitted),
61150000,"Panty hose, tights, stockings (knitted)",
61160000,"Gloves, mittens, mitts (knitted)",
61170000,Other made-up clothing accessories (knitted),
62010000,"Men's overcoats, car-coats (not knitted)",5
62020000,Women's overcoats (not knitted),5
62030000,"Men's suits, ensembles, jackets (not knitted)",5
62040000,"Women's suits, ensembles, jackets (not knitted)",5
62050000,Men's shirts (not knitted),5
62060000,Women's blouses (not knitted),5
62070000,"Men's singlets, briefs, nightwear (not knitted)",
62080000,"Women's singlets, slips, nightwear (not knitted)",
62090000,Babies' garments (not knitted),
62100000,Garments of impregnated/coated fabrics,
62110000,"Track suits, ski suits, swimwear (not knitted)",
62120000,"Brassieres, girdles, corsets, braces (not knitted)",
62130000,Handkerchiefs,
62140000,"Shawls, scarves, mufflers, mantillas",
62150000,"Ties, bow ties, cravats",
62160000,"Gloves, mittens and mitts",
62170000,Other made-up clothing accessories (not knitted),
63010000,Blankets and travelling rugs,0
63020000,"Bed linen, table linen, toilet linen",12
63030000,"Curtains, drapes, interior blinds",12
63040000,Other furnishing articles (not mattress),12
63050000,Sacks and bags for packing of goods,5
63060000,"Tarpaulins, awnings, sunblinds; tents; sails",
63070000,Other made-up articles (incl. dress patterns),
63080000,Sets of woven fabric and yarn for making rugs,
63090000,Worn clothing and other worn articles,
63100000,"Used/new rags, scrap twine, worn-out cordage",
64010000,Waterproof footwear with outer sole of rubber/plastics,18
64020000,Footwear with outer sole/upper of rubber <=Rs.500,5
64021100,"Ski-boots, cross-country ski footwear and snowboard boots with outer soles/uppers of rubber or plastics",18
64021900,Other sports footwear with outer soles and uppers of rubber or plastics,18
64029100,Footwear covering the ankle with outer soles/uppers of rubber or plastics,18
64029900,Other footwear with outer soles and uppers of rubber or plastics,18
64030000,Footwear with outer soles of rubber; uppers of leather,18
64031200,"Ski-boots, cross-country ski footwear, snowboard boots - leather uppers",18
64031900,Other sports footwear with upper of leather,18
64039100,Footwear covering the ankle with upper of leather,18
64039900,Other footwear with upper of leather,18
64040000,Footwear with outer soles of rubber; uppers of textile,18
64041100,"Sports footwear with outer soles of rubber or plastics, uppers of textile materials",18
64041900,"Other footwear with outer soles of rubber or plastics, uppers of textile",5
64042000,"Footwear with outer soles of leather or composition leather, uppers of textile",18
64050000,Other footwear,18
64051000,Footwear with upper of leather or composition leather,18
64052000,Footwear with upper of textile materials,18
64059000,Other footwear,18
64060000,"Parts of footwear; insoles, heel cushions",
65010000,"Hat-forms, hat bodies, hoods of felt",
65020000,"Hat shapes, plaited or made from strips",
65040000,"Hats and other headgear, plaited or assembled",
65050000,"Hats and other headgear, knitted or made from lace",
65060000,"Other headgear (safety helmets, hard hats etc.)",
65070000,"Head-bands, linings, covers, hat foundations",
68010000,"Setts, curbstones and flagstones of natural stone",
68020000,Worked monumental/building stone,
68030000,Worked slate,
68040000,"Millstones, grindstones, grinding wheels",
68050000,Natural/artificial abrasive powder on base,
68060000,"Slag wool, rock wool, mineral wools",
68070000,Articles of asphalt or bitumen,
68080000,"Panels, boards, tiles of vegetable fibre",
68090000,Articles of plaster/compositions based on plaster,
68100000,"Articles of cement, concrete or artificial stone",
68110000,Articles of asbestos-cement,
68120000,Fabricated asbestos fibres; mixtures with asbestos,
68130000,Friction material (brake pads etc.),
68140000,Worked mica and articles of mica,
68150000,Articles of stone or other mineral substances NEC,
69010000,"Bricks, blocks, tiles of siliceous fossil meals",
69020000,"Refractory bricks, blocks, tiles, ceramics",
69030000,Other refractory ceramic goods,
69040000,Ceramic building bricks,
69050000,"Roofing tiles, chimney-pots, cowls (ceramic)",
69060000,"Ceramic pipes, conduits, guttering",
69070000,Unglazed ceramic flags and paving (floor tiles),
69080000,Glazed ceramic flags and paving (tiles),
69090000,Ceramic wares for laboratory/chemical use,
69100000,"Ceramic sinks, washbasins, baths, toilets",
69110000,"Tableware, kitchenware of porcelain/china",
69120000,Ceramic tableware/kitchenware (other than porcelain),
69130000,Statuettes and ornamental ceramic articles,
69140000,Other ceramic articles,
70010000,Cullet and other waste/scrap of glass,
70020000,"Glass in balls, rods, tubes (not worked)",
70030000,Cast glass and rolled glass in sheets/profiles,
70040000,Drawn glass and blown glass in sheets,
70050000,Float glass in sheets,
70060000,Glass curved/bent/ground/polished,
70070000,"Safety glass (toughened, laminated)",
70080000,Multiple-walled insulating units of glass,
70090000,Glass mirrors (framed or not),
70100000,"Carboys, bottles, flasks, jars of glass",
70110000,"Glass envelopes (bulbs, tubes) for electric lamps",
70120000,Glass inners for vacuum flasks,
70130000,"Glassware for table, kitchen, toiletry",
70140000,Signalling glassware; optical glass elements,
70150000,Clock/watch glasses; curved hollow glasses,
70160000,"Paving blocks, slabs, bricks of glass",
70170000,Laboratory/hygiene/pharmacy glassware,
70180000,"Glass beads, imitation pearls, glass eyes",
70190000,Glass fibres (incl. glass wool),
70200000,Other articles of glass,
71010000,"Pearls, natural or cultured",
71020000,Diamonds (worked or not),
71030000,Precious/semi-precious stones (not diamonds),
71040000,Synthetic/reconstructed precious stones,
71050000,Dust and powder of precious/semi-precious stones,
71060000,Silver (unwrought/semi-manufactured),
71070000,Base metals clad with silver,
71080000,Gold (unwrought/semi-manufactured),
71090000,Base metals/silver clad with gold,
71100000,Platinum (unwrought or semi-manufactured),
71110000,Base metals/silver/gold clad with platinum,
71120000,Waste and scrap of precious metal/metal clad,
71130000,Articles of jewellery and parts (precious metal),
71140000,Articles of goldsmiths'/silversmiths' wares,
71150000,Other articles of precious metal,
71160000,Articles of natural/cultured pearls; precious stones,
71170000,Imitation jewellery,
71180000,Coin,
72010000,Pig iron and spiegeleisen in pigs/blocks,
72020000,Ferro-alloys,
72030000,Ferrous products obtained by direct reduction,
72040000,Ferrous waste and scrap,
72050000,Granules and powders of pig/spiegeleisen,
72060000,Iron and non-alloy steel in ingots (primary forms),
72070000,Semi-finished products of iron/non-alloy steel,
72080000,"Flat-rolled products of iron, width >= 600mm (hot-rolled)",
72090000,"Flat-rolled products of iron, width >= 600mm (cold-rolled)",
72100000,"Flat-rolled products, plated or coated",
72110000,"Flat-rolled products, width < 600mm (not clad)",
72120000,"Flat-rolled products, clad/plated/coated (< 600mm)",
72130000,"Bars and rods of iron/non-alloy steel (hot-rolled, coiled)",
72140000,Other bars and rods of iron/non-alloy steel,
72150000,"Other bars and rods of iron/non-alloy steel, NEC",
72160000,"Angles, shapes and sections of iron/non-alloy steel",
72170000,Wire of iron or non-alloy steel,
72180000,Stainless steel in ingots/primary forms,
72190000,"Flat-rolled products of stainless steel, >= 600mm",
72200000,"Flat-rolled products of stainless steel, < 600mm",
72210000,Bars and rods of stainless steel (hot-rolled coiled),
72220000,Other bars/rods/angles of stainless steel,
72230000,Wire of stainless steel,
72240000,Other alloy steel in ingots/primary forms,
72250000,Flat-rolled products of other alloy steel >= 600mm,
72260000,Flat-rolled products of other alloy steel < 600mm,
72270000,Bars and rods of other alloy steel (hot-rolled coiled),
72280000,Other bars/rods/hollow profiles of other alloy steel,
72290000,Wire of other alloy steel,
73010000,Sheet piling of iron/steel; welded angles,
73020000,Railway/tramway track construction material,
73030000,"Tubes, pipes and hollow profiles of cast iron",
73040000,"Tubes, pipes and hollow profiles (seamless)",
73050000,"Other tubes and pipes (welded, > 406.4mm OD)",
73060000,"Other tubes, pipes and hollow profiles",
73070000,Tube/pipe fittings of iron/steel,
73080000,Structures and parts of iron/steel,
73090000,"Reservoirs, tanks, vats of iron/steel (> 300 litres)",
73100000,"Tanks, casks, drums of iron/steel (<= 300 litres)",
73110000,Containers for compressed/liquefied gas,
73120000,"Stranded wire, ropes, cables of iron/steel",
73130000,Barbed wire of iron/steel; twisted hoop,
73140000,"Cloth, grill, netting of iron/steel wire",
73150000,"Chain and parts thereof, of iron/steel",
73160000,"Anchors, grapnels and parts of iron/steel",
73170000,"Nails, tacks, drawing pins, staples of iron/steel",
73180000,"Screws, bolts, nuts, washers of iron/steel",
73190000,"Sewing needles, knitting needles, crochet hooks",
73200000,Springs and leaves for springs of iron/steel,
73210000,"Stoves, ranges, grates, cookers of iron/steel",
73220000,"Radiators for central heating, not electrically heated",
73230000,Table/kitchen/household articles of iron/steel,
73240000,Sanitary ware and parts of iron/steel,
73250000,Other cast articles of iron/steel,
73260000,Other articles of iron/steel,
74010000,Copper mattes; cement copper (precipitate),
74020000,Unrefined copper; copper anodes for electrolytic refining,
74030000,Refined copper and copper alloys (unwrought),
74040000,Copper waste and scrap,
74050000,Master alloys of copper,
74060000,Copper powders and flakes,
74070000,"Copper bars, rods and profiles",
74080000,Copper wire,
74090000,"Copper plates, sheets and strip",
74100000,Copper foil,
74110000,Copper tubes and pipes,
74120000,Copper tube or pipe fittings,
74130000,"Stranded wire, cables, plaited bands of copper",
74150000,"Nails, tacks, staples, screws of copper",
74160000,Springs of copper,
74170000,"Cooking/heating apparatus, non-electrical",
74180000,Table/kitchen/household articles of copper,
74190000,Other articles of copper,
76010000,Unwrought aluminium,
76020000,Aluminium waste and scrap,
76030000,Aluminium powders and flakes,
76040000,"Aluminium bars, rods and profiles",
76050000,Aluminium wire,
76060000,"Aluminium plates, sheets and strip",
76070000,Aluminium foil,
76080000,Aluminium tubes and pipes,
76090000,Aluminium tube/pipe fittings,
76100000,"Aluminium structures and parts (bridges, towers etc.)",
76110000,"Aluminium reservoirs, tanks, vats (> 300 litres)",
76120000,"Casks, drums, cans of aluminium (<= 300 litres)",
76130000,Aluminium containers for compressed/liquefied gas,
76140000,"Stranded wire, cables, plaited bands of aluminium",
76150000,Table/kitchen/household articles of aluminium,
76160000,Other articles of aluminium,
84010000,"Nuclear reactors, fuel elements; radiation machines",
84020000,Steam boilers; super-heated water boilers,
84030000,Central heating boilers (not ch. 8402),
84040000,Auxiliary plant for steam-generating boilers,
84050000,Producer gas/water gas/acetylene generators,
84060000,Steam turbines and other vapour turbines,
84070000,Spark-ignition reciprocating/rotary internal combustion piston engines,
84080000,Compression-ignition internal combustion piston engines (diesel),
84090000,Parts for spark-ignition/compression-ignition engines,
84100000,"Hydraulic turbines, water wheels and regulators",
84110000,"Turbo-jets, turbo-propellers, other gas turbines",
84120000,Other engines and motors,
84130000,Pumps for liquids; liquid elevators,
84140000,"Air/vacuum pumps, compressors, fans",
84150000,Air conditioning machines,
84160000,Furnace burners for liquid/gaseous fuel,
84170000,Industrial/laboratory furnaces and ovens,
84180000,"Refrigerators, freezers, heat pumps",
84190000,Machinery for treating material by change of temperature,
84200000,Calendering machines; other rolling machines,
84210000,Centrifuges; filtering/purifying machinery,
84220000,Dish washing machines; machinery for packing/wrapping,
84230000,Weighing machinery,
84240000,Mechanical appliances for projecting/dispersing liquids,
84250000,Pulley tackles and hoists; winches; capstans; jacks,
84260000,Ships' derricks; cranes; mobile lifting frames,
84270000,Fork-lift trucks; work trucks fitted with lifting/handling equipment,
84280000,"Other lifting, handling, loading/unloading machinery",
84290000,"Self-propelled bulldozers, graders, scrapers",
84300000,"Other moving, grading, excavating machinery",
84310000,Parts for machinery of ch. 84.25 - 84.30,
84320000,Agricultural/forestry/horticulture machinery for soil preparation,
84330000,Harvesting or threshing machinery; mowers,
84340000,Milking machines and dairy machinery,
84350000,"Presses, crushers for wine/cider/fruit juice",
84360000,Other agricultural/horticulture/forestry machinery,
84370000,Machines for cleaning/sorting/grading seed/grain,
84380000,Machinery for industrial preparation/manufacture of food,
84390000,Machinery for making pulp; machines for making paper,
84400000,Book-binding machinery,
84410000,Other machinery for making paper/paperboard,
84420000,Machinery for typesetting/composing; printing type,
84430000,Printing machinery (incl. ink-jet); photocopiers,
84440000,Machines for extruding/drawing/texturing man-made textile,
84450000,Machines for preparing textile fibres; spinning machines,
84460000,Weaving machines (looms),
84470000,Knitting machines; stitch-bonding machines,
84480000,Auxiliary machinery for textile machines,
84490000,Machines for making/finishing felt/nonwovens,
84500000,Household/laundry-type washing machines,
84510000,"Machinery for washing, cleaning, wringing textiles",
84520000,Sewing machines; furniture/bases/covers for sewing machines,
84530000,Machinery for preparing/tanning/working hides/skins,
84540000,"Converters, ladles, ingot moulds, casting machines (metallurgy)",
84550000,Metal-rolling mills and rolls therefor,
84560000,Machine-tools for removing material by laser etc.,
84570000,Machining centres for working metal,
84580000,Lathes (including turning centres) for removing metal,
84590000,Machine-tools for drilling/boring/milling metal,
84600000,Machine-tools for deburring/sharpening,
84610000,"Machine-tools for planing, slotting, broaching metal",
84620000,"Machine-tools for forging, bending, straightening metal",
84630000,Other machine-tools for working metal,
84640000,Machine-tools for working stone/ceramics/concrete,
84650000,Machine-tools for working wood/cork/bone/rubber/plastics,
84660000,Parts/accessories for machines of ch. 84.56 - 84.65,
84670000,"Tools for working in hand, pneumatic/hydraulic/electric motor",
84680000,"Machinery for soldering, brazing/welding",
84690000,Word-processing machines,
84700000,Calculating machines; cash registers; postage-franking machines,
84710000,Automatic data processing machines (computers),
84720000,"Other office machines (photocopying, addressing machines)",
84730000,Parts/accessories for machines of ch. 84.69 - 84.72,
84740000,"Machinery for sorting, screening, crushing minerals",
84750000,Machines for assembling electric filament/discharge lamps,
84760000,Automatic goods-vending machines,
84770000,Machinery for working rubber/plastics,
84780000,Machinery for preparing/making up tobacco,
84790000,Machines and mechanical appliances having individual functions NEC,
84800000,Moulding boxes for metal foundry; mould bases,
84810000,"Taps, cocks, valves for pipes, boilers, tanks",
84820000,Ball/roller bearings,
84830000,"Transmission shafts, cranks, bearing housings, gears",
84840000,Gaskets and similar joints of metal sheeting,
84850000,Machinery parts NEC,
85010000,Electric motors and generators (not sets),18
85020000,Electric generating sets and rotary converters,18
85030000,Parts for electric motors/generators (ch. 85.01/85.02),18
85040000,"Electrical transformers, static converters, inductors",18
85050000,Electromagnets; permanent magnets; magnetic chucks etc.,18
85060000,Primary cells and primary batteries,18
85070000,Electric accumulators (rechargeable batteries),28
85076000,Lithium-ion accumulators (batteries),28
85080000,Vacuum cleaners,18
85090000,Electromechanical domestic appliances with self-contained motor,
85100000,"Shavers, hair clippers, hair-removing appliances",
85110000,Electrical ignition equipment for engines,
85120000,Electrical lighting/signalling equipment for cycles/motor vehicles,
85130000,Portable electric lamps designed to function by own source of energy,
85140000,Industrial/laboratory electric furnaces/ovens,
85150000,Electric/laser/other light/photon beam welding machines,
85160000,Electric water heaters; hair dressing apparatus; flat irons,18
85164000,Electric smoothing irons,18
85170000,Telephone sets (incl. smartphones); video phones,18
85171200,Mobile phones / smartphones,18
85180000,"Microphones, loudspeakers, headphones, amplifiers",
85190000,Sound recording/reproducing apparatus,18
85210000,Video recording/reproducing apparatus,28
85220000,Parts/accessories of ch. 85.19/85.21,
85230000,"Discs, tapes, solid-state storage devices for sound/video",18
85240000,Flat panel display modules,
85250000,Transmission apparatus for radio-broadcasting/TV,
85260000,"Radar apparatus, radio navigational aid apparatus",
85270000,Reception apparatus for radio-broadcasting,
85280000,Monitors and projectors; TV receivers,28
85290000,Parts for transmission/reception apparatus (ch. 85.25 - 85.28),
85300000,Electrical signalling/safety equipment for railways,
85310000,Electric sound/visual signalling apparatus,
85320000,"Electrical capacitors (fixed, variable, adjustable)",
85330000,Electrical resistors (other than heating resistors),
85340000,Printed circuits,
85350000,Electrical apparatus for switching circuits >= 1000V,
85360000,Electrical apparatus for switching circuits < 1000V,
85370000,"Boards, panels, consoles, desks for electric control",
85380000,Parts for apparatus of ch. 85.35 - 85.37,
85390000,Electric filament/discharge lamps; LED lamps; UV/IR lamps,
85400000,"Thermionic, cold cathode/photo-cathode valves and tubes",
85410000,Semiconductor devices; photovoltaic cells; LEDs,
85420000,Electronic integrated circuits,
85430000,Electrical machines and apparatus having specific functions NEC,
85440000,"Insulated wire, cable; optical fibre cables",
85450000,Carbon electrodes; carbon brushes; lamp carbons,
85460000,Electrical insulators,
85470000,Insulating fittings for electrical machinery,
85480000,Electrical parts of machinery/apparatus NEC,
86010000,Rail locomotives powered from external electric source,
86020000,Other rail locomotives; locomotive tenders,
86030000,Self-propelled railway/tramway coaches,
86040000,Railway/tramway maintenance/service vehicles,
86050000,Railway/tramway passenger coaches (not self-propelled),
86060000,Railway/tramway goods vans and wagons (not self-propelled),
86070000,Parts of railway/tramway locomotives or rolling stock,
86080000,Railway/tramway track fixtures; mechanical signalling equipment,
86090000,Containers for transport,
87010000,Tractors,18
87020000,Motor vehicles for transport of >= 10 persons,28
87030000,Motor cars and vehicles for transport of persons,28
87032100,Cars with engine capacity <= 1200cc (petrol/CNG),28
87032200,Cars with engine capacity 1200-1500cc,28
87032300,Cars with engine capacity > 1500cc,28
87034000,Motor vehicles with only electric motor (EV),28
87038000,Other motor vehicles with electric motor,28
87040000,Motor vehicles for transport of goods,28
87050000,"Special purpose motor vehicles (cranes, fire engines)",28
87060000,Chassis fitted with engines for motor vehicles,
87070000,Bodies (incl. cabs) for motor vehicles,
87080000,Parts and accessories for motor vehicles,
87090000,Works trucks not fitted with lifting/handling equipment,
87100000,Tanks and other armoured fighting vehicles,
87110000,Motorcycles (incl. mopeds) and cycles fitted with auxiliary motor,28
87120000,"Bicycles and other cycles, not motorised",12
87130000,Carriages for disabled persons,
87140000,Parts and accessories for vehicles of ch. 87.11 - 87.13,
87150000,Baby carriages and parts thereof,
87160000,"Trailers and semi-trailers; other vehicles, not mechanically propelled",
88010000,Balloons; dirigibles; other non-powered aircraft,
88020000,"Other aircraft (helicopters, aeroplanes)",
88030000,Parts of goods of heading 88.01/88.02,
88040000,Parachutes (incl. dirigible parachutes and paragliders),
88050000,Aircraft launching gear; deck-arrestor/similar gear,
89010000,"Cruise ships, excursion boats, ferry-boats, cargo ships",
89020000,Fishing vessels; factory ships,
89030000,"Yachts, other vessels for pleasure/sports",
89040000,Tugs and pusher craft,
89050000,"Light-vessels, fire-floats, dredgers, floating cranes",
89060000,Other vessels (incl. warships and lifeboats),
89070000,"Other floating structures (rafts, pontoons, floating docks)",
89080000,Vessels and other floating structures for breaking up,
90010000,Optical fibres; optical fibre bundles; lenses,
90020000,"Lenses, prisms, mirrors for optical instruments",
90030000,"Frames and mountings for spectacles, goggles",
90040000,"Spectacles, goggles and the like (corrective/protective)",
90050000,"Binoculars, monoculars, telescopes, astronomical instruments",
90060000,Photographic cameras; photographic flashlight apparatus,
90070000,Cinematographic cameras and projectors,
90080000,Image projectors (other than cinematographic),
90100000,Apparatus/equipment for photographic/cinematographic laboratories,
90110000,"Compound optical microscopes, incl. photomicrographic",
90120000,Microscopes other than optical; diffraction apparatus,
90130000,Liquid crystal devices; lasers; other optical appliances NEC,
90140000,Direction finding compasses; navigational instruments,
90150000,Surveying/hydrographic/oceanographic instruments,
90160000,Balances of a sensitivity of 5 cg or better,
90170000,"Drawing, marking-out, mathematical calculating instruments",
90180000,Instruments used in medical/surgical/dental/veterinary sciences,
90190000,Mechano-therapy appliances; massage apparatus; breathing apparatus,
90200000,Other breathing appliances and gas masks,
90210000,Orthopaedic appliances; artificial body parts,
90220000,X-ray apparatus; alpha/beta/gamma radiation apparatus,
90230000,Instruments/apparatus/models for demonstrational purposes,
90240000,Machines for testing hardness/strength of materials,
90250000,"Hydrometers, thermometers, barometers, hygrometers",
90260000,Instruments for measuring/checking flow/level/pressure,
90270000,Instruments for physical/chemical analysis,
90280000,Gas/liquid/electricity supply/production meters,
90290000,"Revolution counters, production counters, taximeters",
90300000,"Oscilloscopes, spectrum analysers, electrical measurement instruments",
90310000,Measuring/checking instruments/appliances NEC,
90320000,Automatic regulating/controlling instruments,
90330000,Parts/accessories for machines of ch. 90,
91010000,"Wrist-watches, pocket-watches (with precious metal case)",
91020000,"Wrist-watches, pocket-watches (other)",
91030000,Clocks with watch movements,
91040000,Instrument panel clocks for vehicles/aircraft,
91050000,"Other clocks (alarm clocks, wall clocks etc.)",
91060000,Time-of-day recording apparatus; time-registers,
91070000,Time switches with clock/watch movement,
91080000,"Watch movements, complete and assembled",
91090000,"Clock movements, complete and assembled",
91100000,"Complete watch/clock movements, unassembled",
91110000,Watch cases and parts thereof,
91120000,Clock cases and cases of similar types,
91130000,"Watch straps, watch bands and watch bracelets",
91140000,Other clock or watch parts,
94010000,Seats (other than those of ch. 94.02),
94020000,Medical/surgical/dental/veterinary furniture,
94030000,Other furniture and parts thereof,
94040000,"Mattress supports; mattresses; quilts, pillows",
94050000,Lamps and lighting fittings NEC,
94060000,Prefabricated buildings,
95010000,Wheeled toys designed to be ridden by children,
95020000,Dolls representing only human beings,
95030000,"Other toys (electric trains, puzzles, toy vehicles etc.)",
95040000,Video game consoles and machines; articles for funfair,
95045000,Video game consoles,
95050000,Festive/carnival/entertainment articles,
95060000,Articles for general physical exercise/sport,
95070000,"Fishing rods, hooks, fishing tackle; nets for sport",
95080000,"Roundabouts, swings, shooting galleries (funfair)",
96010000,"Worked ivory, bone, tortoise-shell, horn etc.",
96020000,Worked vegetable/mineral carving material; articles thereof,
96030000,"Brooms, brushes, mops, feather dusters",
96040000,Hand sieves and hand riddles,
96050000,Travel sets for personal toilet/sewing/shoe cleaning,
96060000,"Buttons, press-fasteners, snap-fasteners",
96070000,Slide fasteners (zip fasteners) and parts,
96080000,Ball point pens; felt/fibre tipped pens; fountain pens,
96090000,"Pencils, crayons, chalk, pastels, drawing charcoals",
96100000,Slates and boards for writing/drawing,
96110000,"Date, sealing or numbering stamps; hand-operated printers",
96120000,Typewriter/similar ribbons; ink-pads,
96130000,Cigarette lighters and other lighters,
96140000,"Smoking pipes, pipe bowls; cigar/cigarette holders",
96150000,"Combs, hair-slides and similar; hairpins; curling pins",
96160000,Scent atomisers; powder-puffs and pads,
96170000,Vacuum flasks and other vacuum vessels complete,
96180000,Tailors' dummies and other lay figures; automata,
96190000,"Sanitary napkins, tampons, diapers and similar",
