hsn_code,description
6910,"Ceramic sinks, washbasins, baths, toilets"
6911,"Tableware, kitchenware of porcelain/china"
6912,Ceramic tableware/kitchenware (other than porcelain)
6913,Statuettes and ornamental ceramic articles
6914,Other ceramic articles
7001,Cullet and other waste/scrap of glass
7002,"Glass in balls, rods, tubes (not worked)"
7003,Cast glass and rolled glass in sheets/profiles
7004,Drawn glass and blown glass in sheets
7005,Float glass in sheets
7006,Glass curved/bent/ground/polished
7007,"Safety glass (toughened, laminated)"
7008,Multiple-walled insulating units of glass
7009,Glass mirrors (framed or not)
7010,"Carboys, bottles, flasks, jars of glass"
7011,"Glass envelopes (bulbs, tubes) for electric lamps"
7012,Glass inners for vacuum flasks
7013,"Glassware for table, kitchen, toiletry"
7014,Signalling glassware; optical glass elements
7015,Clock/watch glasses; curved hollow glasses
7016,"Paving blocks, slabs, bricks of glass"
7017,Laboratory/hygiene/pharmacy glassware
7018,"Glass beads, imitation pearls, glass eyes"
7019,Glass fibres (incl. glass wool)
7020,Other articles of glass
7101,"Pearls, natural or cultured"
7102,Diamonds (worked or not)
7103,Precious/semi-precious stones (not diamonds)
7104,Synthetic/reconstructed precious stones
7105,Dust and powder of precious/semi-precious stones
7106,Silver (unwrought/semi-manufactured)
7107,Base metals clad with silver
7108,Gold (unwrought/semi-manufactured)
7109,Base metals/silver clad with gold
7110,Platinum (unwrought or semi-manufactured)
7111,Base metals/silver/gold clad with platinum
7112,Waste and scrap of precious metal/metal clad
7113,Articles of jewellery and parts (precious metal)
7114,Articles of goldsmiths'/silversmiths' wares
7115,Other articles of precious metal
7116,Articles of natural/cultured pearls; precious stones
7117,Imitation jewellery
7118,Coin
7201,Pig iron and spiegeleisen in pigs/blocks
7202,Ferro-alloys
7203,Ferrous products obtained by direct reduction
7204,Ferrous waste and scrap
7205,Granules and powders of pig/spiegeleisen
7206,Iron and non-alloy steel in ingots (primary forms)
7207,Semi-finished products of iron/non-alloy steel
7208,"Flat-rolled products of iron, width >= 600mm (hot-rolled)"
7209,"Flat-rolled products of iron, width >= 600mm (cold-rolled)"
7210,"Flat-rolled products, plated or coated"
7211,"Flat-rolled products, width < 600mm (not clad)"
7212,"Flat-rolled products, clad/plated/coated (< 600mm)"
7213,"Bars and rods of iron/non-alloy steel (hot-rolled, coiled)"
7214,Other bars and rods of iron/non-alloy steel
7215,"Other bars and rods of iron/non-alloy steel, NEC"
7216,"Angles, shapes and sections of iron/non-alloy steel"
7217,Wire of iron or non-alloy steel
7218,Stainless steel in ingots/primary forms
7219,"Flat-rolled products of stainless steel, >= 600mm"
7220,"Flat-rolled products of stainless steel, < 600mm"
7221,Bars and rods of stainless steel (hot-rolled coiled)
7222,Other bars/rods/angles of stainless steel
7223,Wire of stainless steel
7224,Other alloy steel in ingots/primary forms
7225,Flat-rolled products of other alloy steel >= 600mm
7226,Flat-rolled products of other alloy steel < 600mm
7227,Bars and rods of other alloy steel (hot-rolled coiled)
7228,Other bars/rods/hollow profiles of other alloy steel
7229,Wire of other alloy steel
7301,Sheet piling of iron/steel; welded angles
7302,Railway/tramway track construction material
7303,"Tubes, pipes and hollow profiles of cast iron"
7304,"Tubes, pipes and hollow profiles (seamless)"
7305,"Other tubes and pipes (welded, > 406.4mm OD)"
7306,"Other tubes, pipes and hollow profiles"
7307,Tube/pipe fittings of iron/steel
7308,Structures and parts of iron/steel
7309,"Reservoirs, tanks, vats of iron/steel (> 300 litres)"
7310,"Tanks, casks, drums of iron/steel (<= 300 litres)"
7311,Containers for compressed/liquefied gas
7312,"Stranded wire, ropes, cables of iron/steel"
7313,Barbed wire of iron/steel; twisted hoop
7314,"Cloth, grill, netting of iron/steel wire"
7315,"Chain and parts thereof, of iron/steel"
7316,"Anchors, grapnels and parts of iron/steel"
7317,"Nails, tacks, drawing pins, staples of iron/steel"
7318,"Screws, bolts, nuts, washers of iron/steel"
7319,"Sewing needles, knitting needles, crochet hooks"
7320,Springs and leaves for springs of iron/steel
7321,"Stoves, ranges, grates, cookers of iron/steel"
7322,"Radiators for central heating, not electrically heated"
7323,Table/kitchen/household articles of iron/steel
7324,Sanitary ware and parts of iron/steel
7325,Other cast articles of iron/steel
7326,Other articles of iron/steel
7401,Copper mattes; cement copper (precipitate)
7402,Unrefined copper; copper anodes for electrolytic refining
7403,Refined copper and copper alloys (unwrought)
7404,Copper waste and scrap
7405,Master alloys of copper
7406,Copper powders and flakes
7407,"Copper bars, rods and profiles"
7408,Copper wire
7409,"Copper plates, sheets and strip"
7410,Copper foil
7411,Copper tubes and pipes
7412,Copper tube or pipe fittings
7413,"Stranded wire, cables, plaited bands of copper"
7415,"Nails, tacks, staples, screws of copper"
7416,Springs of copper
7417,"Cooking/heating apparatus, non-electrical"
7418,Table/kitchen/household articles of copper
7419,Other articles of copper
7601,Unwrought aluminium
7602,Aluminium waste and scrap
7603,Aluminium powders and flakes
7604,"Aluminium bars, rods and profiles"
7605,Aluminium wire
7606,"Aluminium plates, sheets and strip"
7607,Aluminium foil
7608,Aluminium tubes and pipes
7609,Aluminium tube/pipe fittings
7610,"Aluminium structures and parts (bridges, towers etc.)"
7611,"Aluminium reservoirs, tanks, vats (> 300 litres)"
7612,"Casks, drums, cans of aluminium (<= 300 litres)"
7613,Aluminium containers for compressed/liquefied gas
7614,"Stranded wire, cables, plaited bands of aluminium"
7615,Table/kitchen/household articles of aluminium
7616,Other articles of aluminium
8401,"Nuclear reactors, fuel elements; radiation machines"
8402,Steam boilers; super-heated water boilers
8403,Central heating boilers (not ch. 8402)
8404,Auxiliary plant for steam-generating boilers
8405,Producer gas/water gas/acetylene generators
8406,Steam turbines and other vapour turbines
8407,Spark-ignition reciprocating/rotary internal combustion piston engines
8408,Compression-ignition internal combustion piston engines (diesel)
8409,Parts for spark-ignition/compression-ignition engines
8410,"Hydraulic turbines, water wheels and regulators"
8411,"Turbo-jets, turbo-propellers, other gas turbines"
8412,Other engines and motors
8413,Pumps for liquids; liquid elevators
8414,"Air/vacuum pumps, compressors, fans"
8415,Air conditioning machines
8416,Furnace burners for liquid/gaseous fuel
8417,Industrial/laboratory furnaces and ovens
8418,"Refrigerators, freezers, heat pumps"
8419,Machinery for treating material by change of temperature
8420,Calendering machines; other rolling machines
8421,Centrifuges; filtering/purifying machinery
8422,Dish washing machines; machinery for packing/wrapping
8423,Weighing machinery
8424,Mechanical appliances for projecting/dispersing liquids
8425,Pulley tackles and hoists; winches; capstans; jacks
8426,Ships' derricks; cranes; mobile lifting frames
8427,Fork-lift trucks; work trucks fitted with lifting/handling equipment
8428,"Other lifting, handling, loading/unloading machinery"
8429,"Self-propelled bulldozers, graders, scrapers"
8430,"Other moving, grading, excavating machinery"
8431,Parts for machinery of ch. 84.25 - 84.30
8432,Agricultural/forestry/horticulture machinery for soil preparation
8433,Harvesting or threshing machinery; mowers
8434,Milking machines and dairy machinery
8435,"Presses, crushers for wine/cider/fruit juice"
8436,Other agricultural/horticulture/forestry machinery
8437,Machines for cleaning/sorting/grading seed/grain
8438,Machinery for industrial preparation/manufacture of food
8439,Machinery for making pulp; machines for making paper
8440,Book-binding machinery
8441,Other machinery for making paper/paperboard
8442,Machinery for typesetting/composing; printing type
8443,Printing machinery (incl. ink-jet); photocopiers
8444,Machines for extruding/drawing/texturing man-made textile
8445,Machines for preparing textile fibres; spinning machines
8446,Weaving machines (looms)
8447,Knitting machines; stitch-bonding machines
8448,Auxiliary machinery for textile machines
8449,Machines for making/finishing felt/nonwovens
8450,Household/laundry-type washing machines
8451,"Machinery for washing, cleaning, wringing textiles"
8452,Sewing machines; furniture/bases/covers for sewing machines
8453,Machinery for preparing/tanning/working hides/skins
8454,"Converters, ladles, ingot moulds, casting machines (metallurgy)"
8455,Metal-rolling mills and rolls therefor
8456,Machine-tools for removing material by laser etc.
8457,Machining centres for working metal
8458,Lathes (including turning centres) for removing metal
8459,Machine-tools for drilling/boring/milling metal
8460,Machine-tools for deburring/sharpening
8461,"Machine-tools for planing, slotting, broaching metal"
8462,"Machine-tools for forging, bending, straightening metal"
8463,Other machine-tools for working metal
8464,Machine-tools for working stone/ceramics/concrete
8465,Machine-tools for working wood/cork/bone/rubber/plastics
8466,Parts/accessories for machines of ch. 84.56 - 84.65
8467,"Tools for working in hand, pneumatic/hydraulic/electric motor"
8468,"Machinery for soldering, brazing/welding"
8469,Word-processing machines
8470,Calculating machines; cash registers; postage-franking machines
8471,Automatic data processing machines (computers)
8472,"Other office machines (photocopying, addressing machines)"
8473,Parts/accessories for machines of ch. 84.69 - 84.72
8474,"Machinery for sorting, screening, crushing minerals"
8475,Machines for assembling electric filament/discharge lamps
8476,Automatic goods-vending machines
8477,Machinery for working rubber/plastics
8478,Machinery for preparing/making up tobacco
8479,Machines and mechanical appliances having individual functions NEC
8480,Moulding boxes for metal foundry; mould bases
8481,"Taps, cocks, valves for pipes, boilers, tanks"
8482,Ball/roller bearings
8483,"Transmission shafts, cranks, bearing housings, gears"
8484,Gaskets and similar joints of metal sheeting
8485,Machinery parts NEC
8501,Electric motors and generators (not sets)
8502,Electric generating sets and rotary converters
8503,Parts for electric motors/generators (ch. 85.01/85.02)
8504,"Electrical transformers, static converters, inductors"
8505,Electromagnets; permanent magnets; magnetic chucks etc.
8506,Primary cells and primary batteries
8507,Electric accumulators (rechargeable batteries)
8507 60,Lithium-ion accumulators (batteries)
8508,Vacuum cleaners
8509,Electromechanical domestic appliances with self-contained motor
8510,"Shavers, hair clippers, hair-removing appliances"
8511,Electrical ignition equipment for engines
8512,Electrical lighting/signalling equipment for cycles/motor vehicles
8513,Portable electric lamps designed to function by own source of energy
8514,Industrial/laboratory electric furnaces/ovens
8515,Electric/laser/other light/photon beam welding machines
8516,Electric water heaters; hair dressing apparatus; flat irons
8516 40,Electric smoothing irons
8517,Telephone sets (incl. smartphones); video phones
8517 12,Mobile phones / smartphones
8518,"Microphones, loudspeakers, headphones, amplifiers"
8519,Sound recording/reproducing apparatus
8521,Video recording/reproducing apparatus
8522,Parts/accessories of ch. 85.19/85.21
8523,"Discs, tapes, solid-state storage devices for sound/video"
8524,Flat panel display modules
8525,Transmission apparatus for radio-broadcasting/TV
8526,"Radar apparatus, radio navigational aid apparatus"
8527,Reception apparatus for radio-broadcasting
8528,Monitors and projectors; TV receivers
8529,Parts for transmission/reception apparatus (ch. 85.25 - 85.28)
8530,Electrical signalling/safety equipment for railways
8531,Electric sound/visual signalling apparatus
8532,"Electrical capacitors (fixed, variable, adjustable)"
8533,Electrical resistors (other than heating resistors)
8534,Printed circuits
8535,Electrical apparatus for switching circuits >= 1000V
8536,Electrical apparatus for switching circuits < 1000V
8537,"Boards, panels, consoles, desks for electric control"
8538,Parts for apparatus of ch. 85.35 - 85.37
8539,Electric filament/discharge lamps; LED lamps; UV/IR lamps
8540,"Thermionic, cold cathode/photo-cathode valves and tubes"
8541,Semiconductor devices; photovoltaic cells; LEDs
8542,Electronic integrated circuits
8543,Electrical machines and apparatus having specific functions NEC
8544,"Insulated wire, cable; optical fibre cables"
8545,Carbon electrodes; carbon brushes; lamp carbons
8546,Electrical insulators
8547,Insulating fittings for electrical machinery
8548,Electrical parts of machinery/apparatus NEC
8601,Rail locomotives powered from external electric source
8602,Other rail locomotives; locomotive tenders
8603,Self-propelled railway/tramway coaches
8604,Railway/tramway maintenance/service vehicles
8605,Railway/tramway passenger coaches (not self-propelled)
8606,Railway/tramway goods vans and wagons (not self-propelled)
8607,Parts of railway/tramway locomotives or rolling stock
8608,Railway/tramway track fixtures; mechanical signalling equipment
8609,Containers for transport
8701,Tractors
8702,Motor vehicles for transport of >= 10 persons
8703,Motor cars and vehicles for transport of persons
8703 21,Cars with engine capacity <= 1200cc (petrol/CNG)
8703 22,Cars with engine capacity 1200-1500cc
8703 23,Cars with engine capacity > 1500cc
8703 40,Motor vehicles with only electric motor (EV)
8703 80,Other motor vehicles with electric motor
8704,Motor vehicles for transport of goods
8705,"Special purpose motor vehicles (cranes, fire engines)"
8706,Chassis fitted with engines for motor vehicles
8707,Bodies (incl. cabs) for motor vehicles
8708,Parts and accessories for motor vehicles
8709,Works trucks not fitted with lifting/handling equipment
8710,Tanks and other armoured fighting vehicles
8711,Motorcycles (incl. mopeds) and cycles fitted with auxiliary motor
8712,"Bicycles and other cycles, not motorised"
8713,Carriages for disabled persons
8714,Parts and accessories for vehicles of ch. 87.11 - 87.13
8715,Baby carriages and parts thereof
8716,"Trailers and semi-trailers; other vehicles, not mechanically propelled"
8801,Balloons; dirigibles; other non-powered aircraft
8802,"Other aircraft (helicopters, aeroplanes)"
8803,Parts of goods of heading 88.01/88.02
8804,Parachutes (incl. dirigible parachutes and paragliders)
8805,Aircraft launching gear; deck-arrestor/similar gear
8901,"Cruise ships, excursion boats, ferry-boats, cargo ships"
8902,Fishing vessels; factory ships
8903,"Yachts, other vessels for pleasure/sports"
8904,Tugs and pusher craft
8905,"Light-vessels, fire-floats, dredgers, floating cranes"
8906,Other vessels (incl. warships and lifeboats)
8907,"Other floating structures (rafts, pontoons, floating docks)"
8908,Vessels and other floating structures for breaking up
9001,Optical fibres; optical fibre bundles; lenses
9002,"Lenses, prisms, mirrors for optical instruments"
9003,"Frames and mountings for spectacles, goggles"
9004,"Spectacles, goggles and the like (corrective/protective)"
9005,"Binoculars, monoculars, telescopes, astronomical instruments"
9006,Photographic cameras; photographic flashlight apparatus
9007,Cinematographic cameras and projectors
9008,Image projectors (other than cinematographic)
9010,Apparatus/equipment for photographic/cinematographic laboratories
9011,"Compound optical microscopes, incl. photomicrographic"
9012,Microscopes other than optical; diffraction apparatus
9013,Liquid crystal devices; lasers; other optical appliances NEC
9014,Direction finding compasses; navigational instruments
9015,Surveying/hydrographic/oceanographic instruments
9016,Balances of a sensitivity of 5 cg or better
9017,"Drawing, marking-out, mathematical calculating instruments"
9018,Instruments used in medical/surgical/dental/veterinary sciences
9019,Mechano-therapy appliances; massage apparatus; breathing apparatus
9020,Other breathing appliances and gas masks
9021,Orthopaedic appliances; artificial body parts
9022,X-ray apparatus; alpha/beta/gamma radiation apparatus
9023,Instruments/apparatus/models for demonstrational purposes
9024,Machines for testing hardness/strength of materials
9025,"Hydrometers, thermometers, barometers, hygrometers"
9026,Instruments for measuring/checking flow/level/pressure
9027,Instruments for physical/chemical analysis
9028,Gas/liquid/electricity supply/production meters
9029,"Revolution counters, production counters, taximeters"
9030,"Oscilloscopes, spectrum analysers, electrical measurement instruments"
9031,Measuring/checking instruments/appliances NEC
9032,Automatic regulating/controlling instruments
9033,Parts/accessories for machines of ch. 90
9101,"Wrist-watches, pocket-watches (with precious metal case)"
9102,"Wrist-watches, pocket-watches (other)"
9103,Clocks with watch movements
9104,Instrument panel clocks for vehicles/aircraft
9105,"Other clocks (alarm clocks, wall clocks etc.)"
9106,Time-of-day recording apparatus; time-registers
9107,Time switches with clock/watch movement
9108,"Watch movements, complete and assembled"
9109,"Clock movements, complete and assembled"
9110,"Complete watch/clock movements, unassembled"
9111,Watch cases and parts thereof
9112,Clock cases and cases of similar types
9113,"Watch straps, watch bands and watch bracelets"
9114,Other clock or watch parts
9401,Seats (other than those of ch. 94.02)
9402,Medical/surgical/dental/veterinary furniture
9403,Other furniture and parts thereof
9404,"Mattress supports; mattresses; quilts, pillows"
9405,Lamps and lighting fittings NEC
9406,Prefabricated buildings
9501,Wheeled toys designed to be ridden by children
9502,Dolls representing only human beings
9503,"Other toys (electric trains, puzzles, toy vehicles etc.)"
9504,Video game consoles and machines; articles for funfair
9504 50,Video game consoles
9505,Festive/carnival/entertainment articles
9506,Articles for general physical exercise/sport
9507,"Fishing rods, hooks, fishing tackle; nets for sport"
9508,"Roundabouts, swings, shooting galleries (funfair)"
9601,"Worked ivory, bone, tortoise-shell, horn etc."
9602,Worked vegetable/mineral carving material; articles thereof
9603,"Brooms, brushes, mops, feather dusters"
9604,Hand sieves and hand riddles
9605,Travel sets for personal toilet/sewing/shoe cleaning
9606,"Buttons, press-fasteners, snap-fasteners"
9607,Slide fasteners (zip fasteners) and parts
9608,Ball point pens; felt/fibre tipped pens; fountain pens
9609,"Pencils, crayons, chalk, pastels, drawing charcoals"
9610,Slates and boards for writing/drawing
9611,"Date, sealing or numbering stamps; hand-operated printers"
9612,Typewriter/similar ribbons; ink-pads
9613,Cigarette lighters and other lighters
9614,"Smoking pipes, pipe bowls; cigar/cigarette holders"
9615,"Combs, hair-slides and similar; hairpins; curling pins"
9616,Scent atomisers; powder-puffs and pads
9617,Vacuum flasks and other vacuum vessels complete
9618,Tailors' dummies and other lay figures; automata
9619,"Sanitary napkins, tampons, diapers and similar"
9954,Construction services
9961,Wholesale trade services
9962,Retail trade services
9963,Accommodation and food/drink services
9964,Passenger transport services
9965,Goods transport services
9966,Vehicle rental services
9967,Supporting services in transport
9968,Postal and courier services
9969,Electricity/gas distribution services
9971,Financial and related services
9972,Real estate services
9973,Leasing or rental services (without operator)
9981,R&D services
9982,Legal/accounting/advisory services
9983,Other professional/technical/business services
9984,"Telecommunications, broadcasting, information services"
9985,"Support services (cleaning, packaging etc.)"
9986,Agriculture/hunting/forestry/fishing support services
9987,Maintenance/repair/installation services
9988,Manufacturing services on physical inputs (job work)
9991,Public administration/social security services
9992,Education services
9993,Human health and social care services
9994,Sewage/waste collection/remediation services
9995,Services of membership organisations
9996,Recreational/cultural/sporting services
9997,Other services
9998,Domestic services
9999,Services provided by extraterritorial organisations
